Word,Meaning
commence,"
----------verb----------
Meaning: Begin; start.
Example: his design team commenced work

(begin,start,start off,)
"
commodious,"
----------adjective----------
Meaning: (especially of furniture or a building) roomy and comfortable.
Example: they moved to a more commodious dwelling

(roomy,capacious,spacious,ample,substantial,generous,sizeable,large,big,broad,wide,extensive,)
----------adjective----------
Meaning: Convenient.

(convenient,suitable,appropriate,fitting,fit,suited,agreeable,)
"
Commodore,"
----------noun----------
Meaning: A naval officer of high rank, in particular an officer in the US Navy or Coast Guard ranking above captain and below rear admiral.
"
commuter,"
----------noun----------
Meaning: A person who travels some distance to work on a regular basis.
Example: the company provides showers and lockers for bicycle commuters

(daily traveller,traveller,passenger,)
"
companion,"
----------noun----------
Meaning: A person or animal with whom one spends a lot of time or with whom one travels.
Example: his travelling companion

(associate,partner,escort,consort,colleague,workmate,co-worker,compatriot,confederate,ally,)
----------noun----------
Meaning: Each of a pair of things intended to complement or match each other.
Example: a companion volume

(complement,counterpart,fellow,mate,twin,other half,match,)

"
Compass,"
----------noun----------
Meaning: An instrument containing a magnetized pointer which shows the direction of magnetic north and bearings from it.
----------noun----------
Meaning: An instrument for drawing circles and arcs and measuring distances between points, consisting of two arms linked by a movable joint, one arm ending in a point and the other usually carrying a pencil or pen.
----------noun----------
Meaning: The range or scope of something.
Example: the event had political repercussions that are beyond the compass of this book

(scope,range,extent,reach,span,breadth,width,orbit,ambit,stretch,limits,confines,parameters,extremities,bounds,boundary,)

----------transitive verb----------
Meaning: Go around (something) in a circular course.
----------transitive verb----------
Meaning: Contrive to accomplish (something)
Example: he compassed his end only by the exercise of violence

(manage,find a way,engineer a way,arrange,)
"
compassion,"
----------noun----------
Meaning: Sympathetic pity and concern for the sufferings or misfortunes of others.
Example: the victims should be treated with compassion

(pity,sympathy,feeling,fellow feeling,empathy,understanding,care,concern,solicitude,solicitousness,sensitivity,tender-heartedness,soft-heartedness,warm-heartedness,warmth,love,brotherly love,tenderness,gentleness,mercy,mercifulness,leniency,lenience,tolerance,consideration,kindness,humanity,humaneness,kind-heartedness,charity,benevolence,)
"
compassionate,"
----------adjective----------
Meaning: Feeling or showing sympathy and concern for others.
Example: I allowed him to go home on compassionate grounds

(pitying,sympathetic,empathetic,understanding,caring,concerned,solicitous,sensitive,tender-hearted,soft-hearted,warm-hearted,warm,loving,tender,gentle,merciful,lenient,tolerant,considerate,thoughtful,kind,kindly,kind-hearted,humanitarian,humane,charitable,benevolent,good-natured,well disposed,big-hearted,)
"
compatible,"

"
compel,"
----------verb----------
Meaning: Force or oblige (someone) to do something.
Example: a sense of duty compelled Harry to answer her questions

(force,coerce into,pressurize into,pressure,impel,drive,press,push,urge,prevail on,)
"
compelling,"
----------adjective----------
Meaning: Evoking interest, attention, or admiration in a powerfully irresistible way.
Example: his eyes were strangely compelling

(enthralling,captivating,gripping,engrossing,riveting,spellbinding,entrancing,transfixing,mesmerizing,hypnotic,mesmeric,absorbing,fascinating,thrilling,irresistible,addictive,)
"
compensate,"
----------verb----------
Meaning: Give (someone) something, typically money, in recognition of loss, suffering, or injury incurred; recompense.
Example: payments were made to farmers to compensate them for cuts in subsidies

(recompense,repay,pay back,reimburse,remunerate,recoup,requite,indemnify,)
----------verb----------
Meaning: Reduce or counteract (something unwelcome or unpleasant) by exerting an opposite force or effect.
Example: the manager is hoping for victory to compensate for the team's dismal league campaign

(make amends,make up,make restitution,make reparation,make recompense,recompense,atone,requite,pay,)
"
COMPETENCE,"
----------noun----------
Meaning: The ability to do something successfully or efficiently.
Example: the players displayed varying degrees of competence

(capability,ability,competency,capacity,proficiency,accomplishment,adeptness,adroitness,knowledge,expertise,expertness,skill,skilfulness,prowess,mastery,resources,faculties,facilities,talent,bent,aptitude,artistry,virtuosity,)
----------noun----------
Meaning: An income large enough to live on, typically unearned.
"
complacency,"
----------noun----------
Meaning: A feeling of smug or uncritical satisfaction with oneself or one's achievements.
Example: the figures are better, but there are no grounds for complacency

(smugness,self-satisfaction,self-approval,self-approbation,self-admiration,self-congratulation,self-regard,)
"
complacent,"
----------adjective----------
Meaning: Showing smug or uncritical satisfaction with oneself or one's achievements.
Example: you can't afford to be complacent about security

(smug,self-satisfied,pleased with oneself,proud of oneself,self-approving,self-congratulatory,self-admiring,self-regarding,)
"
complement,"
----------noun----------
Meaning: A thing that completes or brings to perfection.
Example: the libretto proved a perfect complement to the music

(accompaniment,companion,addition,supplement,accessory,adjunct,trimming,finishing touch,final touch,)
----------noun----------
Meaning: A number or quantity of something, especially that required to make a group complete.
Example: at the moment we have a full complement of staff

(amount,total,aggregate,contingent,company,)

----------transitive verb----------
Meaning: Add to (something) in a way that enhances or improves it; make perfect.
Example: a classic blazer complements a look that's stylish or casual

(accompany,go with,round off,set off,suit,harmonize with,be the perfect companion to,be the perfect addition to,add the finishing touch to,add the final touch to,add to,supplement,augment,enhance,complete,)
"
compliance,"
----------noun----------
Meaning: The action or fact of complying with a wish or command.
Example: they must secure each other's cooperation or compliance

(yielding,capitulation,agreement,acceptance,consent,accession,compliance,)
----------noun----------
Meaning: The property of a material of undergoing elastic deformation or (of a gas) change in volume when subjected to an applied force. It is equal to the reciprocal of stiffness.
"
comply,"
----------intransitive verb----------
Meaning: (of a person or group) act in accordance with a wish or command.
Example: we are unable to comply with your request

(abide by,act in accordance with,observe,obey,adhere to,conform to,follow,respect,)
"
component,"
----------noun----------
Meaning: A part or element of a larger whole, especially a part of a machine or vehicle.
Example: stereo components

(part,piece,bit,constituent,element,ingredient,)

----------adjective----------
Meaning: Constituting part of a larger whole; constituent.
Example: light passed through a prism breaks up into its component colors

(constituent,integral,)
"
composed,"
----------adjective----------
Meaning: Having one's feelings and expression under control; calm.
Example: a very talented and composed young player

(calm,collected,cool,calm,and collected,cool,as cool as a cucumber,cool-headed,controlled,self-controlled,serene,tranquil,relaxed,at ease,self-possessed,unruffled,unperturbed,unflustered,undisturbed,unmoved,unbothered,untroubled,unagitated,)
"
compound,"
----------noun----------
Meaning: A thing that is composed of two or more separate elements; a mixture.
Example: the air smelled like a compound of diesel and petrol fumes

(amalgam,amalgamation,combination,composite,blend,mixture,mix,admixture,meld,fusion,synthesis,consolidation,)

----------adjective----------
Meaning: Made up or consisting of several parts or elements.
Example: a compound noun

(composite,complex,)

----------verb----------
Meaning: Make up (a composite whole); constitute.
Example: a dialect compounded of Spanish and Dutch

(be composed of,be made up of,be constituted of,be formed from,)
----------verb----------
Meaning: Make (something bad) worse; intensify the negative aspects of.
Example: prisoners' lack of contact with the outside world compounds their problems

(aggravate,worsen,make worse,add to,augment,exacerbate,intensify,heighten,increase,magnify,)
"
comprehend,"
----------transitive verb----------
Meaning: Grasp mentally; understand.
Example: he couldn't comprehend her reasons for marrying Lovat

(understand,grasp,take in,see,apprehend,follow,make sense of,fathom,make out,puzzle out,get to the bottom of,penetrate,)
----------transitive verb----------
Meaning: Include, comprise, or encompass.

(comprise,include,take in,encompass,embrace,involve,contain,)
"
comprehensive,"
----------adjective----------
Meaning: Complete; including all or nearly all elements or aspects of something.
Example: a comprehensive list of sources

(diverse,diversified,wide,broad,broad-based,eclectic,indiscriminate,)

"
comprise,"
----------transitive verb----------
Meaning: Consist of; be made up of.
Example: the country comprises twenty states

(consist of,be made up of,be composed of,contain,take in,embrace,encompass,incorporate,)
"
compromise,"
----------noun----------
Meaning: An agreement or a settlement of a dispute that is reached by each side making concessions.
Example: an ability to listen to two sides in a dispute, and devise a compromise acceptable to both

(agreement,understanding,settlement,terms,accommodation,)

----------verb----------
Meaning: Settle a dispute by mutual concession.
Example: in the end we compromised and deferred the issue

(meet each other halfway,find the middle ground,come to terms,come to an understanding,make a deal,make concessions,find a happy medium,strike a balance,)
----------verb----------
Meaning: Accept standards that are lower than is desirable.
Example: we were not prepared to compromise on safety

(change one's mind,give way,give in,yield,acquiesce,compromise,adapt,retract,do a U-turn,eat one's words,)
"
compromised,"
----------noun----------
Meaning: An agreement or settlement of a dispute that is reached by each side making concessions.
Example: eventually they reached a compromise

(agreement,understanding,settlement,terms,accommodation,)
----------noun----------
Meaning: The expedient acceptance of standards that are lower than is desirable.

----------verb----------
Meaning: Settle a dispute by mutual concession.
Example: in the end we compromised and deferred the issue

(meet each other halfway,find the middle ground,come to terms,come to an understanding,make a deal,make concessions,find a happy medium,strike a balance,)
----------verb----------
Meaning: Expediently accept standards that are lower than is desirable.
Example: we were not prepared to compromise on safety

(change one's mind,give way,give in,yield,acquiesce,compromise,adapt,retract,do a U-turn,eat one's words,)
----------verb----------
Meaning: Bring into disrepute or danger by indiscreet, foolish, or reckless behaviour.
"
compulsive,"
----------adjective----------
Meaning: Resulting from or relating to an irresistible urge, especially one that is against one's conscious wishes.
Example: compulsive eating

(irresistible,uncontrollable,compelling,driving,overwhelming,overpowering,urgent,besetting,)
----------adjective----------
Meaning: Irresistibly interesting or exciting; compelling.
Example: this play is compulsive viewing

(fascinating,compelling,gripping,riveting,engrossing,totally absorbing,enthralling,captivating,spellbinding,mesmerizing,mesmeric,entrancing,)
"
compunction,"
----------noun----------
Meaning: A feeling of guilt or moral scruple that prevents or follows the doing of something bad.
Example: spend the money without compunction

(scruples,misgivings,qualms,worries,unease,uneasiness,hesitation,hesitancy,doubts,reluctance,reservations,)
"
conceal,"
----------transitive verb----------
Meaning: Keep from sight; hide.
Example: a line of sand dunes concealed the distant sea

(hide,keep out of sight,keep hidden,secrete,tuck away,)
"
conceit,"
----------noun----------
Meaning: Excessive pride in oneself.
Example: he was puffed up with conceit

(vanity,narcissism,conceitedness,self-love,self-admiration,self-adulation,self-regard,egotism,egoism,egocentricity,egomania,)
----------noun----------
Meaning: A fanciful expression in writing or speech; an elaborate metaphor.
Example: the idea of the wind's singing is a prime romantic conceit

(image,imagery,figurative expression,metaphor,simile,trope,figure of speech,)
"
conceive,"
----------transitive verb----------
Meaning: Form or devise (a plan or idea) in the mind.
Example: the dam project was originally conceived in 1977

(think up,think of,come up with,dream up,draw up,devise,form,formulate,design,frame,invent,coin,originate,create,develop,evolve,)
"
concentrate,"
----------verb----------
Meaning: Focus one's attention or mental effort on a particular object or activity.
Example: she couldn't concentrate on the movie

(focus,direct,centre,centralize,bring to bear,)
----------verb----------
Meaning: Increase the strength or proportion of (a substance or solution) by removing or reducing the water or any other diluting agent or by selective accumulation of atoms or molecules.
Example: plants and microorganisms can concentrate metals from the environment

(condense,boil down,reduce,distil,thicken,compress,)

----------noun----------
Meaning: A substance made by removing water or other diluting agent; a concentrated form of something, especially food.
Example: apple juice concentrate

(distillation,essence,extract,)
"
concentrates,"
----------verb----------
Meaning: Focus all one's attention on a particular object or activity.
Example: she couldn't concentrate on the film

(focus,direct,centre,centralize,bring to bear,)
----------verb----------
Meaning: Gather (people or things) together in a common location.
----------verb----------
Meaning: Increase the strength or proportion of (a substance or solution) by removing or reducing the other diluting agent or by selective accumulation of atoms or molecules.
Example: plants and microorganisms can concentrate metals from the environment

(condense,boil down,reduce,distil,thicken,compress,)

----------noun----------
Meaning: A substance made by removing or reducing the diluting agent; a concentrated form of something.
Example: apple juice concentrate

(distillation,essence,extract,)
"
concept,"
----------noun----------
Meaning: An abstract idea; a general notion.
Example: structuralism is a difficult concept

(idea,notion,conception,abstraction,conceptualization,)
"
concert,"
----------noun----------
Meaning: A musical performance given in public, typically by several performers or of several separate compositions.
Example: a concert pianist

(musical performance,musical entertainment,show,production,presentation,)
----------noun----------
Meaning: Agreement, accordance, or harmony.
Example: critics' inability to describe with any precision and concert the characteristics of literature

(accord,concurrence,consensus,harmony,accordance,unity,unison,concord,like-mindedness,rapport,sympathy,)

"
concerts,"
----------noun----------
Meaning: A musical performance given in public, typically by several performers or of several compositions.
Example: a pop concert

(musical performance,musical entertainment,show,production,presentation,)
----------noun----------
Meaning: Agreement or harmony.
Example: critics' inability to describe with any precision and concert the characteristics of literature

(accord,concurrence,consensus,harmony,accordance,unity,unison,concord,like-mindedness,rapport,sympathy,)

----------verb----------
Meaning: Arrange (something) by mutual agreement or coordination.
"
conciliatory,"
----------adjective----------
Meaning: Intended or likely to placate or pacify.
Example: a conciliatory approach

(propitiatory,placatory,appeasing,pacifying,pacific,mollifying,so as to pour oil on troubled waters,peacemaking,peacebuilding,reconciliatory,)
"
concise,"
----------adjective----------
Meaning: Giving a lot of information clearly and in a few words; brief but comprehensive.
Example: a concise account of the country's history

(succinct,short,brief,to the point,pithy,incisive,short and sweet,crisp,)
"
concluded,"
----------verb----------
Meaning: Bring or come to an end.
Example: they conclude their study with these words

(finish,end,come to an end,draw to a close,wind up,be over,stop,terminate,close,cease,)
----------verb----------
Meaning: Arrive at a judgement or opinion by reasoning.
Example: the doctors concluded that Esther had suffered a stroke

(come to the conclusion,deduce,infer,draw the inference,gather,judge,decide,)
"
conclusion,"
----------noun----------
Meaning: The end or finish of an event or process.
Example: the conclusion of World War Two

(end,ending,finish,close,closure,termination,wind-up,cessation,)
----------noun----------
Meaning: A judgment or decision reached by reasoning.
Example: each research group came to a similar conclusion

(deduction,inference,interpretation,reasoning,)
"
concord,"
----------noun----------
Meaning: Agreement or harmony between people or groups.
Example: a pact of peace and concord

(agreement,harmony,accord,consensus,concurrence,unity,unanimity,unison,oneness,)
"
concur,"
----------intransitive verb----------
Meaning: Be of the same opinion; agree.
Example: the authors concurred with the majority

(agree,be in agreement,be in accord,be in accordance,accord,go along,fall in,be in harmony,be in sympathy,)
----------intransitive verb----------
Meaning: Happen or occur at the same time; coincide.
Example: in tests, cytogenetic determination has been found to concur with enzymatic determination

(coincide,happen together,occur together,happen simultaneously,occur simultaneously,happen at the same time,occur at the same time,be simultaneous,be concurrent,synchronize,coexist,)
"
condense,"
----------verb----------
Meaning: Change or cause to change from a gas or vapor to a liquid.
Example: the moisture vapor in the air condenses into droplets of water

(precipitate,liquefy,become liquid,deliquesce,liquidize,)
"
condone,"
----------verb----------
Meaning: Accept and allow (behavior that is considered morally wrong or offensive) to continue.
Example: the college cannot condone any behavior that involves illicit drugs

(deliberately ignore,not take into consideration,disregard,take no notice of,take no account of,accept,allow,make allowances for,let pass,turn a blind eye to,overlook,forget,wink at,blink at,connive at,)
"
confection,"
----------noun----------
Meaning: A dish or delicacy made with sweet ingredients.
Example: a whipped chocolate and cream confection

(delicacy,tasty morsel,titbit,fancy,luxury,treat,nibble,savoury,appetizer,bonne bouche,confection,bonbon,)
"
confess,"
----------verb----------
Meaning: Admit or state that one has committed a crime or is at fault in some way.
Example: he confessed that he had attacked the old man

(admit,acknowledge,reveal,make known,disclose,divulge,make public,avow,declare,blurt out,profess,own up to,tell all about,bring into the open,bring to light,)
"
confession,"
----------noun----------
Meaning: A formal statement admitting that one is guilty of a crime.
Example: he signed a confession to the murders

(admission,owning up,acceptance of blame,acceptance of responsibility,acknowledgement,profession,revelation,disclosure,divulgence,exposure,avowal,unbosoming,)
----------noun----------
Meaning: A statement setting out essential religious doctrine.The religious body or Church sharing a confession of faith.A statement of one's principles.
Example: a Protestant confession of faith

(declaration,affirmation,statement,announcement,proclamation,assertion,avowal,vow,claim,allegation,protestation,)
"
configured,"
----------verb----------
Meaning: Arrange or put together in a particular form or configuration.
"
confine,"
----------transitive verb----------
Meaning: Keep or restrict someone or something within certain limits of (space, scope, quantity, or time)
Example: he does not confine his message to politics

(enclose,incarcerate,imprison,intern,impound,hold captive,trap,)

----------noun----------
Meaning: The borders or boundaries of a place, especially with regard to their restricting freedom of movement.
Example: they were cramped within the confines of a little cabin

(limits,outer limits,borders,boundaries,margins,extremities,edges,fringes,marches,)
"
confirm,"
----------transitive verb----------
Meaning: Establish the truth or correctness of (something previously believed, suspected, or feared to be the case)
Example: if these fears are confirmed, the outlook for the economy will be dire

(find out,discover,come to know,get to know,work out,make out,fathom,fathom out,become aware of,learn,ferret out,dig out,dig up,establish,fix,determine,settle,decide,verify,make certain of,confirm,deduce,divine,intuit,diagnose,discern,perceive,see,realize,appreciate,identify,pin down,recognize,register,understand,grasp,take in,comprehend,)
"
conflate,"
----------verb----------
Meaning: Combine (two or more sets of information, texts, ideas, etc.) into one.
Example: the urban crisis conflates a number of different economic, political, and social issues

(condense,shorten,reduce,abbreviate,abridge,summarize,precis,abstract,boil down,shrink,encapsulate,)
"
conflict,"
----------noun----------
Meaning: A serious disagreement or argument, typically a protracted one.
Example: the eternal conflict between the sexes

(dispute,quarrel,squabble,disagreement,difference of opinion,dissension,)

----------intransitive verb----------
Meaning: Be incompatible or at variance; clash.
Example: parents' and children's interests sometimes conflict

(contradictory,incompatible,inconsistent,irreconcilable,incongruous,contrary,opposite,opposing,opposed,antithetical,clashing,discordant,differing,different,divergent,discrepant,varying,disagreeing,contrasting,)
"
Confluence,"
----------noun----------
Meaning: The junction of two rivers, especially rivers of approximately equal width.
Example: here at the confluence of the Laramie and North Platte Rivers

(convergence,meeting,junction,joining,conflux,watersmeet,)
"
conform,"
----------intransitive verb----------
Meaning: Comply with rules, standards, or laws.
Example: the kitchen does not conform to hygiene regulations

(comply with,abide by,obey,observe,follow,keep to,hold to,adhere to,)
"
confront,"
----------verb----------
Meaning: Come face to face with (someone) with hostile or argumentative intent.
Example: 300 policemen confronted an equal number of union supporters

(challenge,square up to,oppose,resist,defy,beard,tackle,attack,assault,)
"
confrontation,"
----------noun----------
Meaning: A hostile or argumentative situation or meeting between opposing parties.
Example: a confrontation with the legislature

(conflict,clash,brush,fight,battle,contest,encounter,head-to-head,face-off,engagement,tangle,skirmish,collision,meeting,duel,incident,high noon,)
"
congeal,"
----------intransitive verb----------
Meaning: Solidify or coagulate, especially by cooling.
Example: the blood had congealed into blobs

(coagulate,clot,cake,set,solidify,harden,thicken,stiffen,dry,gel,concentrate,)
"
congestion,"
----------noun----------
Meaning: The state of being congested.
Example: the new bridge should ease congestion in the area

(crowding,overcrowding,)
"
congregate,"
----------intransitive verb----------
Meaning: Gather into a crowd or mass.
Example: some 4000 demonstrators had congregated at a border point

(assemble,gather,collect,come together,flock together,get together,convene,rally,rendezvous,muster,meet,amass,crowd,cluster,throng,group,)

"
conjoin,"
----------transitive verb----------
Meaning: Join; combine.
Example: an approach that conjoins theory and method

(connect,unite,fix,affix,attach,add,annex,fasten,stick,glue,fuse,knit,weld,amalgamate,consolidate,combine,bond,append,link,bridge,secure,lock,make fast,tie,bind,string,lash,couple,marry,pair,yoke,team,chain,merge,dovetail,splice,blend,)
"
conjunction,"
----------noun----------
Meaning: A word used to connect clauses or sentences or to coordinate words in the same clause (e.g. and, but, if).
----------noun----------
Meaning: The action or an instance of two or more events or things occurring at the same point in time or space.
Example: a conjunction of favorable political and economic circumstances

(co-occurrence,concurrence,coincidence,coexistence,simultaneity,simultaneousness,contemporaneity,contemporaneousness,concomitance,synchronicity,synchrony,)
"
connoisseur,"
----------noun----------
Meaning: An expert judge in matters of taste.
Example: a connoisseur of music

(expert judge,expert judge of,authority,authority on,specialist,specialist in,)
"
connotation,"
----------noun----------
Meaning: An idea or feeling that a word invokes in addition to its literal or primary meaning.
Example: the word “discipline” has unhappy connotations of punishment and repression

(overtone,undertone,undercurrent,implication,hidden meaning,secondary meaning,nuance,flavour,feeling,aura,atmosphere,colouring,smack,hint,vein,echo,vibrations,association,intimation,suggestion,suspicion,insinuation,)
"
conscientious,"
----------adjective----------
Meaning: (of a person) wishing to do what is right, especially to do one's work or duty well and thoroughly.
Example: a conscientious and hardworking clerk

(diligent,industrious,punctilious,painstaking,sedulous,assiduous,dedicated,careful,meticulous,thorough,attentive,laborious,hard-working,ultra-careful,persevering,unflagging,searching,close,minute,accurate,correct,studious,rigorous,particular,)
----------adjective----------
Meaning: Relating to a person's conscience.
"
consensus,"
----------noun----------
Meaning: A general agreement.
Example: a consensus view

(agreement,harmony,concord,like-mindedness,concurrence,consent,common consent,accord,unison,unity,unanimity,oneness,solidarity,concert,)
"
consent,"
----------noun----------
Meaning: Permission for something to happen or agreement to do something.
Example: no change may be made without the consent of all the partners

(agreement,assent,concurrence,accord,)

----------intransitive verb----------
Meaning: Give permission for something to happen.
Example: he consented to a search by a detective

(agree to,assent to,allow,give permission for,sanction,accept,approve,acquiesce in,go along with,accede to,concede to,yield to,give in to,submit to,comply with,abide by,concur with,conform to,)
"
consequence,"
----------noun----------
Meaning: A result or effect of an action or condition.
Example: many have been laid off from work as a consequence of the administration's policies

(result,upshot,outcome,out-turn,sequel,effect,reaction,repercussion,reverberations,ramification,end,end result,conclusion,termination,culmination,denouement,corollary,concomitant,aftermath,fruit,fruits,product,produce,by-product,)
----------noun----------
Meaning: Importance or relevance.
Example: the past is of no consequence

(importance,import,significance,account,moment,momentousness,substance,note,mark,prominence,value,weightiness,weight,concern,interest,gravity,seriousness,)
"
consequences,"
----------noun----------
Meaning: A result or effect, typically one that is unwelcome or unpleasant.
Example: abrupt withdrawal of drug treatment can have serious consequences

(result,upshot,outcome,out-turn,sequel,effect,reaction,repercussion,reverberations,ramification,end,end result,conclusion,termination,culmination,denouement,corollary,concomitant,aftermath,fruit,fruits,product,produce,by-product,)
----------noun----------
Meaning: Importance or relevance.
Example: the past is of no consequence

(importance,import,significance,account,moment,momentousness,substance,note,mark,prominence,value,weightiness,weight,concern,interest,gravity,seriousness,)
----------noun----------
Meaning: A game in which a narrative is made up by the players in turn, each ignorant of what has already been contributed.
"
consequential,"
----------adjective----------
Meaning: Following as a result or effect.
Example: a loss of confidence and a consequential withdrawal of funds

(resulting,resultant,ensuing,consequent,)
----------adjective----------
Meaning: Important; significant.
Example: perhaps the most consequential discovery of the eighteenth century

(important,significant,major,momentous,of moment,weighty,material,meaty,appreciable,memorable,far-reaching,life-changing,serious,)
"
conservative,"
----------adjective----------
Meaning: Averse to change or innovation and holding traditional values.

(traditionalist,traditional,conventional,orthodox,stable,old-fashioned,dyed-in-the-wool,unchanging,hidebound,)
----------adjective----------
Meaning: (in a political context) favoring free enterprise, private ownership, and socially traditional ideas.

(right-wing,reactionary,traditionalist,unprogressive,establishmentarian,blimpish,ultra-right,)
----------adjective----------
Meaning: (of an estimate) purposely low for the sake of caution.

(low,cautious,understated,unexaggerated,moderate,reasonable,)

----------noun----------
Meaning: A person who is averse to change and holds traditional values.

(right-winger,reactionary,rightist,diehard,)
"
conserve,"
----------transitive verb----------
Meaning: Protect (something, especially an environmentally or culturally important place or thing) from harm or destruction.
Example: the funds raised will help conserve endangered meadowlands

(protect,keep safe,shield,cover,screen,shade,keep from harm,afford protection to,provide protection for,save,safeguard,wrap,cover for,preserve,conserve,defend,cushion,secure,guard,hedge,)

----------noun----------
Meaning: A sweet food made by preserving fruit with sugar; jam.
Example: pork tenderloin with onion and raisin conserve

(jam,preserve,jelly,spread,marmalade,confiture,)
"
considerable,"
----------adjective----------
Meaning: Notably large in size, amount, or extent.
Example: a position of considerable influence

(sizeable,substantial,appreciable,significant,)
"
consist,"
----------intransitive verb----------
Meaning: Be composed or made up of.
Example: the exhibition consists of 180 drawings

(be composed,be made up,be formed,)

"
console,"
----------transitive verb----------
Meaning: Comfort (someone) at a time of grief or disappointment.
Example: she tried to console him but he pushed her gently away

(comfort,solace,condole with,give condolences to,)
"
conspicuous,"
----------adjective----------
Meaning: Standing out so as to be clearly visible.
Example: he was very thin, with a conspicuous Adam's apple

(obvious,clear,plain,evident,apparent,manifest,self-evident,)
"
conspiracy,"
----------noun----------
Meaning: A secret plan by a group to do something unlawful or harmful.
Example: a conspiracy to destroy the government

(plot,scheme,stratagem,plan,machination,cabal,intrigue,palace intrigue,)
"
constant,"
----------adjective----------
Meaning: Occurring continuously over a period of time.
Example: the pain is constant

(continual,continuous,persistent,sustained,abiding,round-the-clock,)

----------noun----------
Meaning: A situation or state of affairs that does not change.
Example: the condition of struggle remained a constant

(unchanging factor,unchanging state of affairs,unchanging situation,given,)
"
consternation,"
----------noun----------
Meaning: Feelings of anxiety or dismay, typically at something unexpected.
Example: I always welcomed clover, much to the consternation of the neighbors

(dismay,perturbation,anxiety,distress,disquiet,disquietude,discomposure,angst,trepidation,)
"
constitution,"
----------noun----------
Meaning: A body of fundamental principles or established precedents according to which a state or other organization is acknowledged to be governed.
Example: Britain lacks a codified constitution

(charter,social code,canon,body of law,system of laws,system of rules,)
----------noun----------
Meaning: The composition of something.
Example: the genetic constitution of a species

(composition,make-up,structure,organization,construction,arrangement,configuration,framework,form,formation,anatomy,shape,design,)
----------noun----------
Meaning: A person's physical state with regard to vitality, health, and strength.
Example: pregnancy had weakened her constitution

(health,physique,state of health,physical condition,physical strength,shape,fettle,)
"
constitutional,"
----------adjective----------
Meaning: Relating to someone's physical or mental condition.
Example: a constitutional weakness

(inherent,inbred,intrinsic,innate,structural,fundamental,essential,)

----------noun----------
Meaning: A walk, typically one taken regularly to maintain or restore good health.
Example: she went out for a constitutional

(walk,stroll,saunter,turn,wander,amble,breather,airing,ramble,hike,)
"
constrain,"
----------transitive verb----------
Meaning: Compel or force (someone) to follow a particular course of action.
Example: children are constrained to work in the way the book dictates

(compel,force,coerce,drive,impel,oblige,prevail on,require,)
"
constrict,"
----------transitive verb----------
Meaning: Make narrower, especially by encircling pressure.
Example: chemicals that constrict the blood vessels

(narrow,become narrower,make narrower,tighten,compress,contract,become smaller,make smaller,shrink,draw in,)
"
construction,"
----------noun----------
Meaning: The building of something, typically a large structure.
Example: there was a skyscraper under construction

(building,erection,putting up,setting up,raising,establishment,assembly,manufacture,fabrication,forming,fashioning,contriving,creation,making,)
"
consult,"
----------transitive verb----------
Meaning: Seek information or advice from (someone with expertise in a particular area)
Example: you should consult a financial advisor

(ask,seek advice from,seek information from,take counsel from,call in,call on,call upon,turn to,have recourse to,)

"
consume,"
----------transitive verb----------
Meaning: Eat, drink, or ingest (food or drink)
Example: people consume a good deal of sugar in drinks

(eat,eat up,devour,ingest,swallow,gobble,gobble up,wolf down,gorge oneself on,feast on,)
"
consumed,"
----------verb----------
Meaning: Eat, drink, or ingest (food or drink)
Example: people consume a good deal of sugar in drinks

(eat,eat up,devour,ingest,swallow,gobble,gobble up,wolf down,gorge oneself on,feast on,)
----------verb----------
Meaning: Buy (goods or services)
----------verb----------
Meaning: (of a feeling) completely fill the mind of (someone)
Example: Carolyn was consumed with guilt

(absorb,preoccupy,engross,)
"
consumer,"
----------noun----------
Meaning: A person who purchases goods and services for personal use.
Example: understanding what motivates consumers is more crucial than ever

(purchaser,buyer,customer,shopper,)
"
consuming,"
----------adjective----------
Meaning: (of a feeling) completely filling one's mind and attention; absorbing.
Example: a consuming passion

(absorbing,compelling,preoccupying,engrossing,all-consuming,compulsive,besetting,)
"
consummate,"

----------adjective----------
Meaning: Showing a high degree of skill and flair; complete or perfect.
Example: she dressed with consummate elegance

(perfect,exemplary,supreme,ultimate,faultless,quintessential,)
"
contact,"
----------noun----------
Meaning: The state or condition of physical touching.
Example: the tennis ball is in contact with the court surface for as little as 5 milliseconds

(touch,touching,)
----------noun----------
Meaning: The state or condition of communicating or meeting.
Example: Lewis and Clark came into contact with numerous river tribes

(communication,connection,correspondence,touch,association,)

----------transitive verb----------
Meaning: Communicate with (someone), typically in order to give or receive specific information.
Example: anyone with any information should contact Darlington police

(get in touch with,communicate with,make contact with,approach,reach,notify,be in communication with,)
----------transitive verb----------
Meaning: Touch.

(touch,stroke,caress,skim,sweep,graze,shave,glance,contact,flick,scrape,)
"
contagion,"
----------noun----------
Meaning: The communication of disease from one person to another by close contact.
"
contagious,"
----------adjective----------
Meaning: (of a disease) spread from one person or organism to another by direct or indirect contact.
Example: a contagious infection

(infectious,communicable,transmittable,transmissible,transferable,spreadable,)
"
